,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,c_1,c_2,c_3,c_4,d_1,d_2,d_3,d_4,e_1,e_2,e_3,e_4
a_1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
a_2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1
a_3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
a_4,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
b_1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1
b_2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
b_3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
b_4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1
c_1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0
c_2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c_3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c_4,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
d_1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1
d_2,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
d_3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
d_4,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
e_1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
e_2,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0
e_3,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
e_4,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
